关联Prompt,Prompt版本,被测模型,模型参数,附件处理方式,OCR供应商,用例执行时间,LLM耗时(ms),OCR耗时(ms),总耗时(ms),AI打分情况,评分详情,用例名称,期望输出,模型输出,附件链接
采购收货单,3,qwen/qwen3-32b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:18:51,10248,68,10316,通过,"信息一致性:10.0 (实际输出完整包含了期望输出中的所有Key（sup_no, po_no, item_code, arrival_qty）及其对应的Value。虽然存在额外的字段，但根据评估规则多出的场景不扣分，且字符串与数值格式的差异也被忽略。JSON格式正确，Key-Value对应关系准确。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": 750.00
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-32b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:20:32,15272,10898,26170,失败,信息一致性:7.0 (模型输出符合JSON格式。但也存在以下问题：1. item_code的值提取错误，期望为'89-503819-0'，实际为'89-502819-0'（第三位数字由3变为2）；2. 多出了字段但按规则不扣分；3. 关键字段sup_no、po_no和arrival_qty正确。由于核心字段item_code的内容不一致，故给予扣分。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""doc_code"": ""P65"",
  ""is_po_off"": ""1"",
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-502819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:22:03,1582,48,1630,失败,信息一致性:1.0 (实际输出完全没有按要求提取信息并解析为JSON格式，而是返回了无关的通用问候语，内容与期望输出完全不符。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]",Hello! How can I assist you today?,图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:22:37,17176,52,17228,通过,信息一致性:8.0 (实际输出符合JSON格式。核心字段sup_no和po_no完全匹配。扣分点在于item_code的值出现识别错误：期望值为'89-503819-0'，实际输出为'89-502819-0'（数字3误识别为2），属于关键业务信息提取错误。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": ""P10003"",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-22"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-502819-0"",
      ""item_name"": """",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:26:35,9380,54,9434,通过,"信息一致性:10.0 (模型完全包含了期望输出中的所有关键字段（sup_no, po_no, item_code, arrival_qty），且key与value的对应关系准确无误。虽然实际输出包含更多冗余字段，但根据评估规则，多出的场景不扣分，且忽略数据类型和单头单身命名的差异，因此判定为满分。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": ""112401-250724005"",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": """",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:26:42,7887,74,7961,通过,信息一致性:8.0 (JSON格式正确。sup_no和po_no提取准确。但在核心字段item_code上出现了一位数字的提取错误（实际输出为89-502819-0，期望为89-503819-0），属于关键信息提取失真，因此扣除2分。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-22"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": ""0071218"",
      ""item_code"": ""89-502819-0"",
      ""item_name"": ""SPULENWAND 13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,deepseek/deepseek-v3.2,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:27:56,9607,43,9650,通过,信息一致性:8.0 (JSON格式正确。sup_no和arrival_qty完全对应。唯一的错误在于item_code的值，期望输出为'89-503819-0'，而实际输出为'89-502819-0'（第三位数字3误识别为2），属于关键信息提取错误。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-22"",
  ""is_po_off"": ""1"",
  ""datas"": [
    {
      ""line_seq"": ""1"",
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-502819-0"",
      ""item_name"": """",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": ""750.00"",
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,deepseek/deepseek-v3.2,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:27:57,29328,49,29377,通过,"信息一致性:10.0 (模型输出完全涵盖了期望输出中的所有关键字段（sup_no, po_no, item_code, arrival_qty），且各字段的Key-Value对应关系准确。虽然模型输出了更多的冗余字段，但根据评估规则，多出的内容不扣分，且JSON格式正确。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": ""1"",
  ""datas"": [
    {
      ""line_seq"": ""1"",
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": ""SPULENAND13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": ""750.00"",
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-thinking,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:33:57,0,0,0,未评分,,天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]",,图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-thinking,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:34:03,161826,173,161999,通过,"信息一致性:10.0 (实际输出完整包含了期望输出中的所有key（sup_no, po_no, item_code, arrival_qty）及其对应的value。根据评估规则，忽略了多出的字段、忽略了数值与字符串的格式差异（750.00），且JSON格式正确。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": ""SPULENAND13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-instruct,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:35:17,5181,67,5248,通过,信息一致性:8.0 (JSON格式正确。在关键字段匹配上：sup_no和po_no完全正确，arrival_qty数值一致。但核心字段item_code提取错误，期望为'89-503819-0'，实际为'89-502819-0'（数字3错提为2），属于关键信息提取失真。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-22"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-502819-0"",
      ""item_name"": ""SPULENWAND 13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.0,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-instruct,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:36:09,9414,44,9458,通过,"信息一致性:10.0 (实际输出完整包含了期望输出中的所有Key（sup_no, po_no, item_code, arrival_qty），且其对应的Value完全一致。虽然实际输出包含了更多冗余字段，但根据评分规则，多出的场景不扣分，且字符串与数值格式的差异（如750.00与750.0）也被忽略。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": ""SPULENAND13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.0,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-32b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:39:48,3741,58,3799,通过,"信息一致性:10.0 (模型输出包含所有期望的关键字段（sup_no, po_no, item_code, arrival_qty）且对应关系完全正确。虽然多出了receipt_type、doc_code等字段，但根据规则‘多出场景不额外扣分’且‘忽略字符串和数值格式错误’（如arrival_qty的类型差异），该输出完全符合提取要求。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""doc_code"": ""P65"",
  ""sup_no"": ""菲尼克斯"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": 750.00
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-32b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:39:49,21124,53,21177,通过,信息一致性:8.0 (JSON格式正确，关键字段sup_no和arrival_qty完全匹配。但在核心字段item_code上，模型提取的值为'89-502819-0'，而期望输出为'89-503819-0'（数字2与3的区别），存在关键信息提取错误。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": 1,
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": ""0071218"",
      ""item_code"": ""89-502819-0"",
      ""arrival_qty"": ""750.00"",
      ""receive_code"": ""汽运门到门""
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:40:41,9085,134,9219,通过,信息一致性:8.0 (模型成功提取了供应商和明细数据，JSON格式正确。扣分项主要在于 item_code 字段的值提取错误：期望值为 '89-503819-0'，模型提取为 '89-502819-0'（第三位数字3误写位2），存在关键信息识别偏差。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","**API 入参 JSON（已完整对齐字段定义）**

```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-22"",
  ""is_po_off"": ""1"",
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-502819-0"",
      ""item_name"": ""SPULENWAND 13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,openai/gpt-oss-120b,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:40:57,17267,102,17369,通过,"信息一致性:10.0 (模型完全提取了期望输出中要求的所有关键字段（sup_no, po_no, item_code, arrival_qty），且字段间的对应关系准确无误。虽然实际输出包含了更多冗余字段，但根据评估规则，多出的内容不扣分，且字符串与数值格式的差异亦在忽略范围内。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": ""SPULENAND13"",
      ""item_spec"": """",
      ""item_feture_code"": ""0071218"",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,deepseek/deepseek-v3.2,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:42:13,15848,105,15953,通过,"信息一致性:8.0 (JSON格式正确。模型包含了期望输出的所有Key（sup_no, po_no, item_code, arrival_qty）及其对应的Value。扣分项在于 item_code 的提取不准确：期望值为 '89-503819-0'，实际提取为 '89-502819-0'（中间数字3误提取为2），存在字符识别错误。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-22"",
  ""is_po_off"": ""1"",
  ""datas"": [
    {
      ""line_seq"": ""1"",
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-502819-0"",
      ""item_name"": ""SPULENWAND 13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": ""750.00"",
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,deepseek/deepseek-v3.2,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:42:14,3388,82,3470,通过,"信息一致性:10.0 (模型输出完全符合JSON格式，且包含了期望输出中要求的所有关键字段（sup_no, po_no, item_code, arrival_qty）。虽然实际输出包含了更多冗余字段，但根据评分规则，“比期望输出多的场景不额外扣分”且“忽略单头、单身节点命名错误”，Key与Value的对应关系准确无误。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","```json
{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": ""1"",
  ""datas"": [
    {
      ""line_seq"": ""1"",
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": ""SPULENAND13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": ""750.00"",
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}
```",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-thinking,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:50:48,238963,72,239035,通过,"信息一致性:10.0 (实际输出完整包含了期望输出中的所有Key-Value对应关系（sup_no, po_no, item_code, arrival_qty）。虽然实际输出包含更多冗余字段，但根据评分规则，多出的场景不额外扣分，且忽略数据类型差异、单头单身命名错误以及其他额外字段。JSON格式正确，关键信息提取准确。)",天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": ""1"",
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": """",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-instruct,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:51:49,0,0,0,未评分,,天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]",,图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-instruct,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,MinerU,2026/1/16 09:51:52,9203,46,9249,失败,信息一致性:0.0 (评估失败),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-19"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": """",
      ""item_code"": ""89-503819-0"",
      ""item_name"": """",
      ""item_spec"": ""SPULENAND13"",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.0,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
采购收货单,3,qwen/qwen3-vl-235b-a22b-thinking,temperature=1; max_tokens=10330; top_p=0.7; frequency_penalty=0; presence_penalty=0,OCR（将图片/PDF转文字）,Datalab（实验）,2026/1/16 09:52:55,225500,42,225542,通过,信息一致性:8.0 (模型成功提取了绝大部分关键信息且符合JSON格式。加分项：包含了期望的所有Key，且供应商、单号、数量的值均正确。扣分项：item_code的值提取错误（期望值为89-503819-0，实际提取为89-502819-0，存在一位数字偏差）。),天泽-菲尼克斯,"{
  ""sup_no"": ""菲尼克斯"",
  ""datas"": [
    {
      ""po_no"": ""TT2202-2509180001"",
      ""item_code"": ""89-503819-0"",
      ""arrival_qty"": ""750.00""
    }
  ]","{
  ""receipt_type"": ""apmt520"",
  ""site_no"": """",
  ""sup_no"": ""菲尼克斯"",
  ""doc_code"": ""P65"",
  ""doc_date"": ""2025-09-22"",
  ""is_po_off"": 1,
  ""datas"": [
    {
      ""line_seq"": 1,
      ""po_no"": ""TT2202-2509180001"",
      ""po_seq"": ""0071218"",
      ""item_code"": ""89-502819-0"",
      ""item_name"": ""SPULENWAND 13"",
      ""item_spec"": """",
      ""item_feture_code"": """",
      ""arrival_qty"": 750.00,
      ""receive_code"": """",
      ""lot_code"": """",
      ""lot_desc"": """",
      ""req_no"": """"
    }
  ]
}",图6.pdf: http://localhost:3001/api/v1/files/33133936-5946-4b77-978c-f699e950b81c
